Taxon,Population,Mother tree voucher,Year planted,Current status
Eucalyptus caesia subsp. caesia,"Mount Caroline, WA",5612,2011,Dead
Eucalyptus caesia subsp. caesia,"The Humps, WA",308,1993,Mature
Eucalyptus caesia subsp. magna,"Billyacatting Hill, WA",5455,2011,Mature
Eucalyptus caesia subsp. magna,"Chiddarcooping Hill, WA",304,1994,Mature
Eucalyptus caesia subsp. magna,"Yanneymooning Hill, WA",5610,2011,Mature
Eucalyptus caesia subsp. 'Southern rocks',"Mordetta, WA",6026,2013,Mature
Eucalyptus caesia subsp. 'Southern rocks',"Pingaring, WA",3813,2002,Mature
Eucalyptus caesia subsp. 'Southern rocks',"Wongan Hills, WA",5550,2011,Mature
Eucalyptus cajuputea,"Gawler Ranges, SA",5929,2013,Immature
Eucalyptus cajuputea,"Iron Dutchess, SA",1691,1997,Mature
Eucalyptus cajuputea,"Moockra Tower, SA",5281,2018,Immature
Eucalyptus calcareana,"Kimba, SA",2587,2000,Mature
Eucalyptus calcareana,"Lock, SA",,1993,Mature
Eucalyptus calcareana,"Madura Pass, WA",2800,2000,Mature
Eucalyptus calcareana,"Nundroo, SA",103,1993,Mature
Eucalyptus calcareana,"Yumbarra Con. Park, SA",1074,1995,Mature
Eucalyptus calcicola subsp. calcicola,"Boranup Beach, WA",1674,1997,Mature
Eucalyptus calcicola subsp. unita,"Bremer Bay 1, WA",3753,2001,Matured then died
Eucalyptus calcicola subsp. unita,"Bremer Bay 2, WA",3978,2002,Dead
Eucalyptus calcicola subsp. unita,"Haul Off Rock, WA",1878,1997,Mature
Eucalyptus calcicola subsp. unita,"Point Hillier, WA",3757,2001,Matured then died
Eucalyptus calcicola subsp. unita,"West Cape Howe, WA",1669,1997,Mature
Eucalyptus caleyi subsp. caleyi,"Bylong, NSW",746,1994,Mature
Eucalyptus caleyi subsp. caleyi - subsp. ovendenii intergrade,"Tenterfield, NSW",2102,1998,Mature
Eucalyptus caleyi subsp. ovendenii,"Gibraltar Rock, NSW",2930,2000,Mature
Eucalyptus caliginosa,"Glen Innes, NSW",2943,2000,Immature
Eucalyptus caliginosa,"Wallangarra, QLD",1249,1997,Mature
Eucalyptus calycogona subsp. calycogona,"Cleve, SA",3177,2001,Mature
Eucalyptus calycogona subsp. calycogona,"Deralinya Homestead, WA",4558,2011,Mature
Eucalyptus calycogona subsp. calycogona,"Forrestania, WA",3829,2002,Mature
Eucalyptus calycogona subsp. calycogona,"Lake King, WA",1112,1995,Mature
Eucalyptus calycogona subsp. miraculum,"Bodallin, WA",4786,2006,Mature
Eucalyptus calycogona subsp. miraculum,"Marvel Loch, WA",4794,2006,Mature
Eucalyptus calycogona subsp. spaffordii,"Cummins, SA",949,1995,Mature
Eucalyptus calycogona subsp. trachybasis,"Koraleigh, NSW",2896,2000,Mature
Eucalyptus calycogona subsp. trachybasis,"Lameroo, SA",732,1994,Mature
Eucalyptus calyerup (E. occidentalis × E. platypus),"Jerramungup, WA",4799,2006,Mature
Eucalyptus camaldulensis 'Blue Veil',"Cultivar, nursery origin",,2013,Immature
Eucalyptus camaldulensis subsp. acuta,"Dirranbandi, QLD",2553,1999,Mature
Eucalyptus camaldulensis subsp. arida,"Boulia, QLD",4177,2002,Mature
Eucalyptus camaldulensis subsp. arida,"Boulia, QLD",4177,2010,Mature
Eucalyptus camaldulensis subsp. arida,"MacDonnell Ranges, NT",1206,1995,Mature
Eucalyptus camaldulensis subsp. arida,"MacDonnell Ranges, NT",1206,1997,Immature
Eucalyptus camaldulensis subsp. arida,"Murchison House Station, WA",5571,2011,Immature
Eucalyptus camaldulensis subsp. arida,"Northampton, WA",3523,2001,Mature
Eucalyptus camaldulensis subsp. arida,"Silverton, NSW",2555,1999,Mature
Eucalyptus camaldulensis subsp. camaldulensis,"Currency Creek, SA",5156,2010,Mature
Eucalyptus camaldulensis subsp. camaldulensis,"Kangaroo Island, SA",823,1995,Mature
Eucalyptus camaldulensis subsp. camaldulensis,"Kangaroo Island, SA",823,1996,Mature
Eucalyptus camaldulensis subsp. camaldulensis,"Kangaroo Island, SA",823,1997,Mature
Eucalyptus camaldulensis subsp. camaldulensis,"Minlaton, SA",4733,2004,Mature
Eucalyptus camaldulensis subsp. minima,"Bascombe Well, SA",6136,2015,Immature
Eucalyptus camaldulensis subsp. minima,"Hancock Lookout, SA",5279,2018,Immature
Eucalyptus camaldulensis subsp. minima,"Wilpena Creek, SA",6389,2013,Immature
Eucalyptus camaldulensis subsp. minima,"Yunta, SA",5233,2010,Mature
Eucalyptus camaldulensis subsp. obtusa,"Daly Waters, NT",2489,1999,Mature
Eucalyptus camaldulensis subsp. obtusa,"Durack River, WA",4231,2002,Mature
Eucalyptus camaldulensis subsp. refulgens,"Coongan River, WA",4258,2002,Mature
Eucalyptus camaldulensis subsp. refulgens,"Lyons River, WA",5747,2011,Immature
Eucalyptus camaldulensis subsp. simulata,"Laura, QLD",1314,1996,Mature
Eucalyptus cambageana,"Moura, QLD",697,1994,Mature
Eucalyptus cameronii,"Gibraltar Range, NSW",662,1998,Dead
Eucalyptus cameronii (E. mensalis),"Blackdown Tableland, QLD",709,2017,Immature
Eucalyptus camfieldii,"Hornsby, NSW",2077,2002,Dead
Eucalyptus camfieldii,"Ku-Ring-Gai Chase, NSW",6794,2015,Immature
Eucalyptus campanulata,"Drake, NSW",1248,2000,Mature
Eucalyptus campanulata (E. montivaga),"Kroombit Tops, QLD",2546,1999,Mature
Eucalyptus campaspe,"Coolgardie 1, WA",332,1993,Matured then died
Eucalyptus campaspe,"Coolgardie 2, WA",2174,1999,Mature
Eucalyptus campaspe,"Coolgardie 3, WA",5660,2017,Immature
Eucalyptus camphora subsp. camphora,"Rylstone, NSW",762,1994,Mature
Eucalyptus camphora subsp. camphora,"Rylstone, NSW",762,1998,Mature
Eucalyptus camphora subsp. camphora (E. aquatica),"Wingello, NSW",616,1994,Mature
Eucalyptus camphora subsp. humeana,"Delegate, NSW",6333,2013,Immature
Eucalyptus camphora subsp. humeana,"Mount Buffalo, VIC",576,1997,Mature
Eucalyptus camphora subsp. relicta,"Wallangarra, QLD",5024,2010,Mature
Eucalyptus camphora subsp. relicta,"Warra, NSW",6219,2013,Immature
Eucalyptus canaliculata,"Gloucester, NSW",1232,1996,Mature
Eucalyptus canescens subsp. beadellii,"Oak Valley, SA",1506,1996,Mature
Eucalyptus canescens subsp. canescens,"Ooldea Range, SA",487,1994,Mature
Eucalyptus capillosa,"Lake Barlee, WA",2192,2000,Mature
Eucalyptus capillosa,"Mukinbudin, WA",300,1993,Mature
Eucalyptus capillosa (E. nigrifunda),"Laverton, WA",533,1994,Mature
Eucalyptus capillosa (E. nigrifunda),"Point Bott, WA",2722,2000,Matured then died
Eucalyptus capillosa (subsp. polyclada),"Kulin, WA",241,1993,Mature
Eucalyptus capitanea,"Yumbarra Con. Park, SA",1076,1995,Mature
Eucalyptus capitellata,"Cessnock, NSW",5262,2010,Mature
Eucalyptus capitellata,"Nelson Bay, NSW",640,1994,Mature
Eucalyptus captiosa,"Needilup, WA",203,1993,Mature
Eucalyptus carnea,"Gloucester, NSW",1236,2002,Mature
Eucalyptus carnea,"Peregrine Point, NSW",2925,2000,Dead
Eucalyptus carnei,"Granite Peak, WA",4302,2002,Mature
Eucalyptus carnei,"Leonora, WA",547,1994,Mature
Eucalyptus carolaniae (E. cypellocarpa - E. goniocalyx intergrade),"Mount Martha, VIC",6787,2015,Immature
Eucalyptus castrensis (E. aenea × E. moluccana),"Singleton, NSW",5263,2010,Mature
Eucalyptus celastroides subsp. celastroides,"Norseman, WA",132,1994,Mature
Eucalyptus celastroides subsp. virella,"Newdegate, WA",1116,1995,Mature
Eucalyptus celastroides subsp. virella,"Wubin, WA",286,1995,Mature
Eucalyptus cephalocarpa,"Tynong, VIC",1730,1997,Mature
Eucalyptus ceracea,"Seppelt Range, WA",1926,2011,Dead
Eucalyptus cerasiformis,"Lake Johnston, WA",329,1993,Mature
Eucalyptus ceratocorys,"Korda, WA",2232,1999,Mature
Eucalyptus cernua,"Bandalup Hill, WA",182,1994,Mature
Eucalyptus cernua,"Bandalup Hill, WA",182,2000,Mature
Eucalyptus cernua,"Ravensthorpe Range, WA",3574,2001,Mature
Eucalyptus chapmaniana,"Bogong, VIC",7387,2018,Immature
Eucalyptus chapmaniana,"Bright, VIC",577,1994,Matured then died
Eucalyptus chartaboma,"Lappa Junction, QLD",2509,2000,Dead
Eucalyptus chartaboma,"Pentland, QLD",5143,2015,Immature
Eucalyptus chloroclada,"Nymagee, NSW",6148,2013,Immature
Eucalyptus chloroclada,"Pilliga, NSW",6806,2015,Immature
Eucalyptus chloroclada,"Stanthorpe, QLD",675,1994,Mature
Eucalyptus chloroclada,"Warwick, QLD",1255,1996,Mature
Eucalyptus chloroclada,"Yellowbank, QLD",6464,2015,Immature
Eucalyptus chlorophylla,"Laura, QLD",1315,1996,Mature
Eucalyptus chlorophylla,"Three Ways roadhouse, NT",1334,1996,Immature
Eucalyptus cinerea 'Silver Shadow',"Cultivar, nursery origin",,2013,Immature
Eucalyptus cinerea subsp. cinerea,"Marulan, NSW",3211,2001,Mature
Eucalyptus cinerea subsp. cinerea,"Wattle Flat, NSW",6277,2013,Immature
Eucalyptus cinerea subsp. triplex,"Beechworth, VIC",569,1994,Mature
Eucalyptus cladocalyx subsp. cladocalyx,"Wanilla, SA",3182,2001,Mature
Eucalyptus cladocalyx subsp. cladocalyx × E. peninsularis,"Cummins, SA",1683,1997,Immature
Eucalyptus cladocalyx subsp. crassa,"Kangaroo Island, SA",1053,1995,Mature
Eucalyptus cladocalyx subsp. petila,"Wilmington, SA",2569,1999,Mature
Eucalyptus clelandii,"Coolgardie, WA",333,1993,Mature
Eucalyptus clelandii,"Metzke Find, WA",7295,2018,Immature
Eucalyptus clivicola,"Ravensthorpe, WA",193,1993,Mature
Eucalyptus clivicola,"Ravensthorpe, WA",193,2000,Mature
Eucalyptus clivicola,"Tambellup, WA",3779,2001,Mature
Eucalyptus cloeziana,"Isla Gorge, QLD",696,1994,Mature
Eucalyptus cneorifolia,"Waitpinga, SA",,1994,Mature
Eucalyptus coccifera,"Breona, TAS",7390,2018,Immature
Eucalyptus coccifera,"Crater Lake, TAS",1961,1998,Dead
Eucalyptus codonocarpa,"Gibraltar Range, NSW",2097,2000,Dead
Eucalyptus codonocarpa,"Wallangarra 1, QLD",673,2002,Dead
Eucalyptus codonocarpa,"Wallangarra 2, QLD",5025,2017,Immature
Eucalyptus comitae-vallis,"Lake Barlee, WA",2767,2000,Mature
Eucalyptus comitae-vallis (E. brachycorys),"Marchagee, WA",1897,1997,Mature
Eucalyptus communalis (E. adesmophloia - E. obesa intergrade),"Hamersley River, WA",200,1999,Mature
Eucalyptus concinna,"Cosmo Newbery, WA",2715,2000,Mature
Eucalyptus concinna,"Diemals Station, WA",7307,2018,Immature
Eucalyptus concinna,"Oak Valley, SA",2631,2000,Mature
Eucalyptus concinna,"Tarcoola, SA",1391,1996,Mature
Eucalyptus conferruminata subsp. conferruminata,"Bald Head, WA",4805,2006,Mature
Eucalyptus conferruminata subsp. conferruminata,"Quoin Head, WA",3570,2001,Mature
Eucalyptus conferruminata subsp. recherche,"Middle Island, WA",4588,2004,Mature
Eucalyptus conferruminata subsp. recherche,"North Twin Peak Island, WA",4585,2004,Matured then died
Eucalyptus conferruminata subsp. recherche,"Woody Island, WA",4610,2004,Mature
Eucalyptus confluens,"King Leopold Ranges, WA",1908,2017,Immature
Eucalyptus conglobata subsp. conglobata,"Boston Island 1, SA",933,1995,Mature
Eucalyptus conglobata subsp. conglobata,"Boston Island 2, SA",938,1995,Mature
Eucalyptus conglobata subsp. conglobata,"Pink Lake, WA",6017,2013,Mature
Eucalyptus conglobata subsp. conglobata,"Port Lincoln, SA",944,1995,Mature
Eucalyptus conglobata subsp. conglobata,"Quaggi Beach, WA",3588,2001,Mature
Eucalyptus conglobata subsp. conglobata,"Salmon Gums, WA",1106,1995,Mature
Eucalyptus conglobata subsp. conglobata,"Toolinna Cove, WA",559,1994,Mature
Eucalyptus conglobata subsp. perata,"Dragon Rocks, WA",3439,2001,Mature
Eucalyptus conglobata subsp. perata,"Newdegate, WA",4423,2004,Mature
Eucalyptus conglomerata,"Beerwah, Qld",719,1998,Matured then died
Eucalyptus conica,"Bylong, NSW",747,1994,Mature
Eucalyptus consideniana,"Nowra, NSW",611,1994,Mature
Eucalyptus conspicua,"Moe, VIC",4516,2004,Mature
Eucalyptus conspicua,"Nadgee, NSW",1747,2004,Mature
Eucalyptus conveniens (E. gittinsii subsp. illucida -,,,,
Eucalyptus conveniens (E. gittinsii subsp. illucida -,,,,
Eucalyptus coolabah,"Palmer River, NT",1355,1996,Mature
Eucalyptus coolabah,"Wilcannia, NSW",2957,2000,Mature
Eucalyptus coolabah (E. barklyensis),"Barkly Tableland, NT",4186,2002,Mature
Eucalyptus cooperiana,"Condingup, WA",168,1993,Mature
Eucalyptus cooperiana,"Eyre Bird Observatory, WA",1813,1997,Mature
Eucalyptus cordata subsp. cordata,"Cape Queen Elizabeth, TAS",6726,2015,Immature
Eucalyptus cordata subsp. cordata,"Nugent, TAS",1985,1998,Mature
Eucalyptus cordata subsp. quadrangulosa,"Mount Lloyd, TAS",1979,2017,Immature
Eucalyptus cornuta,"Bremer Bay, WA",3748,2001,Mature
Eucalyptus cornuta,"Cape Le Grand, WA",173,1993,Mature
Eucalyptus cornuta,"Cape Le Grand, WA",173,1996,Mature
Eucalyptus cornuta,"Middle Island, WA",4587,2004,Mature
Eucalyptus cornuta,"Mondrain Island, WA",4597,2004,Mature
Eucalyptus cornuta,"Observatory Island, WA",4308,2004,Dead
Eucalyptus coronata,"East Mount Barren, WA",2247,1999,Mature
Eucalyptus coronata,"East Mount Barren, WA",2247,2000,Mature
Eucalyptus corrugata,"Lake Deborah, WA",3483,2001,Mature
Eucalyptus corrugata,"Westonia, WA",305,1993,Mature
Eucalyptus corticosa,"Olinda, NSW",6276,2013,Immature
Eucalyptus corticosa,"Rylstone, NSW",770,1994,Matured then died
Eucalyptus corticosa (E. conferta),"Vaughan, VIC",6781,2015,Immature
Eucalyptus corticosa (E. ignorabilis),"Eden, NSW",1746,1997,Mature
Eucalyptus corynodes,"Cracow, QLD",1264,1996,Mature
Eucalyptus cosmophylla,"Clarendon, SA",7236,2017,Immature
Eucalyptus cosmophylla,"Kangaroo Island, SA",819,1995,Matured then died
Eucalyptus crebra,"Eulorel, QLD",6495,2015,Immature
Eucalyptus crebra,"Flora Range, QLD",6453,2013,Immature
Eucalyptus crebra,"Texas, QLD",6170,2013,Immature
Eucalyptus crenulata,"Buxton, Vic",1775,1997,Matured then died
Eucalyptus creta,"Mount Ney, WA",3606,2001,Mature
Eucalyptus creta,"Mount Ridley, WA",1102,1995,Mature
Eucalyptus cretata,"Darke Peak 1, SA",1689,1997,Mature
Eucalyptus cretata,"Darke Peak 2, SA",,1992,Mature
Eucalyptus cretata - E. dumosa intergrade,"Gawler Ranges, SA",5932,2013,Mature
Eucalyptus crispata (E. accedens × E. arachnaea),"Mindaloo Beacon, WA",3545,2001,Mature
Eucalyptus croajingolensis,"Cann River, VIC",1744,1997,Mature
Eucalyptus crucis subsp. crucis,"Moorine Rock, WA",3681,2001,Mature
Eucalyptus crucis subsp. crucis,"Sandford Rock, WA",305,1994,Matured then died
Eucalyptus crucis subsp. lanceolata,"Beeringgnurding Hill, WA",5603,2011,Immature
Eucalyptus crucis subsp. lanceolata,"Billyacatting Hill, WA",5456,2011,Mature
Eucalyptus crucis subsp. lanceolata,"Chiddarcooping Hill, WA",303,1993,Mature
Eucalyptus crucis subsp. praecipua,"Warrdagga Rock 1, WA",1561,1997,Immature
Eucalyptus crucis subsp. praecipua,"Warrdagga Rock 1, WA",1561,2002,Mature
Eucalyptus crucis subsp. praecipua,"Warrdagga Rock 2, WA",7318,2018,Immature
Eucalyptus cullenii,"Lakeland Downs, QLD",1322,1996,Mature
Eucalyptus cunninghamii,"Kings Tableland, NSW",2915,2002,Dead
Eucalyptus cunninghamii,"Pulpit Rock 1, NSW",626,1993,Dead
Eucalyptus cunninghamii,"Pulpit Rock 2, NSW",5868,2015,Immature
Eucalyptus cuprea,"Murchison River, WA",3536,2001,Mature
Eucalyptus cupularis,"Halls Creek, WA",1938,1997,Immature
Eucalyptus cupularis,"The Black Hills, NT",6641,2015,Immature
Eucalyptus curtisii,"Beerwah, QLD",2108,1998,Mature
Eucalyptus cyanophylla,"Loxton, SA",983,1995,Mature
Eucalyptus cyclostoma,"Balladonia, WA",125,1993,Mature
Eucalyptus cylindriflora,"Salmon Gums, WA",144,1993,Mature
Eucalyptus cylindrocarpa,"Balladonia, WA",121,1993,Mature
Eucalyptus cylindrocarpa,"Lake Minigwal, WA",526,1994,Mature
Eucalyptus cypellocarpa (E. oresbia),"Nundle, NSW",2949,2000,Mature
Eucalyptus cypellocarpa (E. quinniorum),"Barraba, NSW",2946,2000,Mature
Eucalyptus dalrympleana subsp. dalrympleana,"Nunniong Plateau, VIC",579,1994,Dead
Eucalyptus dalrympleana subsp. dalrympleana,"Verdun, SA",1363,1996,Dead
Eucalyptus dalrympleana subsp. heptantha,"Eukey, QLD",5022,2010,Immature
Eucalyptus dalrympleana subsp. heptantha,"Glen Innes, NSW",2941,2000,Mature
Eucalyptus dalrympleana subsp. Howmans Gap,"Howmans Gap, VIC",7386,2018,Immature
Eucalyptus dalrympleana subsp. Howmans Gap,"Mount Buffalo, VIC",4867,2006,Immature
Eucalyptus dalrympleana subsp. Tasmania,"Derwent River, TAS",6736,2015,Immature
Eucalyptus dawsonii,"Bylong, NSW",743,1994,Mature
Eucalyptus dawsonii,"Bylong, NSW",743,1996,Mature
Eucalyptus dealbata,"Bingara, NSW",723,1994,Mature
Eucalyptus dealbata,"Glen Gallic, NSW",6242,2013,Immature
Eucalyptus dealbata,"Nandewar Range, NSW",724,1994,Mature
Eucalyptus dealbata,"Texas, QLD",6171,2013,Immature
Eucalyptus deanei,"Perrys Crossing, NSW",633,1994,Mature
Eucalyptus deanei,"Perrys Crossing, NSW",633,1998,Mature
Eucalyptus decipiens,"Coorow, WA",3700,2001,Mature
Eucalyptus decipiens,"Perth, WA",1153,1995,Mature
Eucalyptus decipiens,"Takalarup, WA",227,1993,Mature
Eucalyptus decolor,"Boynedale, QLD",2545,1999,Mature
Eucalyptus decolor,"Mount Castletower, QLD",Bean 480,1992,Mature
Eucalyptus decorticans,"Eidsvold, QLD",1260,1996,Mature
Eucalyptus decurva,"New Norcia, WA",3506,2001,Dead
Eucalyptus decurva,"Wellstead, WA",219,1993,Matured then died
Eucalyptus deflexa,"Cascade, WA",4437,2004,Mature
Eucalyptus deflexa,"Lake King, WA",1110,1995,Mature
Eucalyptus deglupta,"Bulolo, PNG",CSIRO 19790,1999,Dead
Eucalyptus deglupta,"Bulolo, PNG",CSIRO 19791,1999,Dead
Eucalyptus delegatensis subsp. delegatensis,"Mount Buffalo, VIC",573,2002,Dead
Eucalyptus delegatensis subsp. delegatensis,"Nunniong Plateau, VIC",7383,2018,Immature
Eucalyptus delegatensis subsp. tasmaniensis,"Derwent Bridge, TAS",1971,1998,Dead
Eucalyptus delegatensis subsp. tasmaniensis,"Waratah, TAS",7400,2018,Immature
Eucalyptus delicata,"Lort River, WA",2262,1999,Mature
Eucalyptus delicata,"Peak Charles, WA",149,1993,Mature
Eucalyptus dendromorpha,"Fitzroy Falls, NSW",1758,1997,Mature
Eucalyptus dendromorpha,"Katoomba, NSW",5869,2015,Immature
Eucalyptus densa subsp. densa,"Lake King, WA",1111,1995,Mature
Eucalyptus densa subsp. improcera,"Ravensthorpe, WA",185,1993,Mature
Eucalyptus denticulata,"Errinundra Plateau, VIC",1743,1997,Mature
Eucalyptus depauperata,"Lake King, WA",5053,2010,Mature
Eucalyptus desmondensis,"Desmond, WA",192,1993,Mature
Eucalyptus desmondensis,"Desmond, WA",192,1999,Mature
Eucalyptus desmondensis × E. occidentalis,"Desmond, WA",192,1993,Mature
Eucalyptus desquamata (E. cajuputea × E. percostata),"Devils Peak, SA",567,1993,Mature
Eucalyptus deuaensis,"Deua Nat. Park, NSW",1769,1997,Mature
Eucalyptus dielsii,"Lake King, WA",5472,2011,Mature
Eucalyptus dielsii,"Mount Ney, WA",3596,2001,Mature
Eucalyptus dielsii,"Ravensthorpe, WA",1120,1995,Mature
Eucalyptus diminuta,"Beermullah Plain, WA",5543,2011,Mature
Eucalyptus diminuta,"Geraldton, WA",271,1993,Mature
Eucalyptus diminuta,"Mindaloo Beacon, WA",3544,2001,Mature
Eucalyptus diminuta - E. stowardii intergrade,"Watheroo, WA",3697,2001,Mature
Eucalyptus diminuta (E. sargentii subsp. fallens),"Binnu, WA",1168,1995,Mature
Eucalyptus diminuta (E. sargentii subsp. fallens),"Binnu, WA",1168,2002,Mature
Eucalyptus diptera,"Salmon Gums, WA",146,1993,Mature
Eucalyptus diptera,"Salmon Gums, WA",146,1996,Mature
Eucalyptus diptera,"Salmon Gums, WA",146,1999,Mature
Eucalyptus disclusa,"Blackdown Tableland, QLD",707,1994,Mature
Eucalyptus discreta,"Fraser Range, WA",4553,2004,Mature
Eucalyptus discreta,"Mount Ney, WA",3613,2001,Mature
Eucalyptus discreta,"Mount Ragged, WA",1091,1995,Mature
Eucalyptus discreta - E. sp. Madura Beach intergrade,"Russell Range, WA",6350,2013,Mature
Eucalyptus dissimulata,"Hamersley River, WA",3567,2001,Mature
Eucalyptus dissimulata,"Needilup 1, WA",205,1993,Mature
Eucalyptus dissimulata,"Needilup 2, WA",1629,1997,Mature
Eucalyptus dissimulata,"Ongerup, WA",3745,2001,Mature
Eucalyptus distans,"Willeroo, NT",2452,1999,Immature
Eucalyptus distans (E. epruinata),"Croydon, QLD",2500,1999,Mature
Eucalyptus distuberosa subsp. aerata,"Bronzite Ridge 1, WA",3653,2001,Mature
Eucalyptus distuberosa subsp. aerata,"Bronzite Ridge 2, WA",3657,2001,Mature
Eucalyptus distuberosa subsp. distuberosa,"Yellowdine, WA",3480,2001,Mature
Eucalyptus diversicolor,"Pemberton, WA",4629,2004,Mature
Eucalyptus diversicolor,"Walpole, WA",1142,1995,Mature
Eucalyptus diversifolia subsp. diversifolia,"Kangaroo Island, SA",792,1995,Mature
Eucalyptus diversifolia subsp. diversifolia (subsp. megacarpa),"Portland, VIC",1991,1998,Mature
Eucalyptus diversifolia subsp. hesperia,"Border Village, SA",1811,1997,Mature
Eucalyptus dives,"Blackwood Range, VIC",6099,2013,Mature
Eucalyptus dives,"Moss Vale, NSW",1760,1997,Dead
Eucalyptus dives,"Mount Buffalo, VIC",572,1995,Matured then died
Eucalyptus dolichocera,"Gregory, WA",3525,2002,Mature
Eucalyptus dolichocera,"Mullewa, WA",273,1993,Mature
Eucalyptus dolichorhyncha,"Grass Patch, WA",152,1994,Mature
Eucalyptus doratoxylon,"Cape Le Grand, WA",178,2002,Mature
Eucalyptus dorrienii,"Boyagin Rock, WA",2237,1999,Mature
Eucalyptus dorrienii,"Tarin Rock, WA",3725,2001,Mature
Eucalyptus dorrigoensis,"Dorrigo, NSW",6798,2015,Immature
Eucalyptus dorrigoensis × E. saligna?,"Dorrigo, NSW",6798,2015,Immature
Eucalyptus drepanophylla,"Coen, QLD",2514,1999,Immature
Eucalyptus drepanophylla,Cooktown QLD,1317,1996,Mature
Eucalyptus drepanophylla,"Lolworth Range, QLD",2532,1999,Immature
Eucalyptus drepanophylla,"Mingela, QLD",5133,2010,Immature
Eucalyptus drepanophylla (E. xanthoclada),"Charters Towers, QLD",2531,1999,Immature
Eucalyptus drepanophylla (E. xanthoclada),"Charters Towers, QLD",2531,2017,Immature
Eucalyptus drepanophylla (E. xanthoclada),"Pentland, QLD",1294,1996,Immature
Eucalyptus drummondii,"Congelin, WA",1892,1997,Mature
Eucalyptus drummondii,"Dwellingup, WA",3549,2001,Immature
Eucalyptus drummondii,"Herschel Range, WA",1156,1995,Mature
Eucalyptus drummondii,"Moora, WA",2212,1999,Mature
Eucalyptus dumosa,"Mildura, NSW",981,1995,Mature
Eucalyptus dumosa,"Narrina Pound, SA",,1993,Mature
Eucalyptus dumosa,"Renmark, SA",2558,1999,Mature
Eucalyptus dumosa,"Yunta, SA",5229,2010,Mature
Eucalyptus dumosa × E. largiflorens,"Renmark, SA",2557,1999,Mature
Eucalyptus dundasii,"Callion, WA",2175,1999,Mature
Eucalyptus dundasii,"Fraser Range, WA",129,1993,Mature
Eucalyptus dunnii,"Legume, NSW",1257,1996,Mature
Eucalyptus dura,"Barakula State Forest, QLD",689,1994,Mature
Eucalyptus dwyeri,"Rocky Glen, NSW",1369,1996,Mature
Eucalyptus dwyeri,"Wollar, NSW",751,1994,Mature
Eucalyptus ebbanoensis subsp. ebbanoensis,"Wongan Hills, WA",293,1993,Mature
Eucalyptus ebbanoensis subsp. glauciramula,"Balpe Lakes, WA",2726,2000,Mature
Eucalyptus ebbanoensis subsp. photina,"Mount Michael, WA",270,1993,Mature
Eucalyptus ecostata,"Corackerup Nature Res., WA",3564,2001,Mature
Eucalyptus ecostata,"Desmond, WA",5496,2011,Mature
Eucalyptus ecostata,"Hamersley River 1, WA",2244,2001,Matured then died
Eucalyptus ecostata,"Hamersley River 2, WA",3568,2001,Mature
Eucalyptus ecostata,"Hopetoun, WA",198,1993,Mature
Eucalyptus ecostata - E. semiglobosa intergrade,"Quaggi Beach, WA",3587,2001,Mature
Eucalyptus educta,"Callion 1, WA",335,1993,Mature
Eucalyptus educta,"Callion 2, WA",6928,2017,Immature
Eucalyptus educta,"Dromidaries Hill 1, WA",1562,2000,Dead
Eucalyptus educta,"Dromidaries Hill 2, WA",5600,2011,Immature
Eucalyptus educta,"Jaudi Hills, WA",6921,2017,Immature
Eucalyptus educta,"Metzke Find, WA",7300,2018,Immature
Eucalyptus effusa subsp. effusa,"Fraser Range, WA",127,1993,Mature
Eucalyptus effusa subsp. effusa,"Zanthus, WA",3631,2001,Mature
Eucalyptus effusa subsp. exsul,"Morton Craig Range, WA",1540,1996,Mature
Eucalyptus effusa subsp. exsul,"Youanmi, WA",1554,1996,Mature
Eucalyptus elaeophloia,"Nunniong Plateau 1, VIC",586,1995,Dead
Eucalyptus elaeophloia,"Nunniong Plateau 2, VIC",7379,2018,Immature
Eucalyptus elata,"Club Terrace, VIC",1742,1997,Mature
Eucalyptus elata,"Little River Gorge, VIC",4880,2006,Immature
Eucalyptus elata,"Nerrigundah, NSW",2901,2000,Mature
Eucalyptus elata (E. ornans),"Avon River, VIC",6783,2015,Immature
Eucalyptus elegans,"Tara, QLD",680,1994,Mature
Eucalyptus elliptica,"Apsley Falls, NSW",6228,2013,Immature
Eucalyptus elliptica,"Bendemeer, NSW",1367,1996,Matured then died
Eucalyptus elliptica,"Nundle, NSW",2948,2000,Mature
Eucalyptus elliptica × E. blakelyi?,"Nundle, NSW",2948,2000,Immature
Eucalyptus erectifolia,"Stirling Range, WA",1623,2000,Dead
Eucalyptus eremicola subsp. eremicola,"Maralinga, SA",1500,1996,Mature
Eucalyptus eremicola subsp. eremicola,"Maralinga, SA",1500,2017,Immature
Eucalyptus eremicola subsp. eremicola,"Ooldea Range, SA",2614,2002,Mature
Eucalyptus eremicola subsp. peeneri,"Voakes Hill, SA",1518,1998,Mature
Eucalyptus eremicola subsp. peeneri (E. sublucida),"Lake Yeo, WA",1542,1996,Mature
Eucalyptus eremophila,"Bilbunya Dunes, WA",5994,2013,Mature
Eucalyptus eremophila,"Zanthus, WA",345,1993,Mature
Eucalyptus eremophila (subsp. pterocarpa),"Hatter Hill, WA",5046,2010,Mature
Eucalyptus eremophila × E. stricklandii,"Norseman, WA",3648,2001,Mature
Eucalyptus erosa,"Carnarvon Range, QLD",2118,1998,Mature
