Taxon,Population,Mother tree voucher,Year planted,Current status
Corymbia grandifolia subsp. lamprocardia,"Pine Creek, NT",2461,2002,Dead
Corymbia grandifolia subsp. longior,"Oenpelli, NT",4215,2010,Immature
Corymbia gummifera,"Ku-Ring-Gai Chase, NSW",1228,1996,Immature
Corymbia haematoxylon,"Busselton, WA",1147,1995,Mature
Corymbia hamersleyana,"Marble Bar, WA",4260,2002,Dead
Corymbia hamersleyana,"Mount Nameless, WA",1190,1995,Mature
Corymbia hendersonii,"Springsure, QLD",701,1994,Mature
Corymbia hendersonii,"Springsure, QLD",701,2010,Immature
Corymbia intermedia,"Blackdown Tableland, QLD",708,1994,Immature
Corymbia jacobsiana,"Pine Creek, NT",2464,2002,Dead
Corymbia latifolia,"Mount Elizabeth Station, WA",1922,2002,Dead
Corymbia leichhardtii,"Springsure, QLD",1277,1996,Mature
Corymbia lenziana,"Karalundi, WA",537,2010,Immature
Corymbia lenziana,"Kennedy Range, WA",5733,2011,Immature
Corymbia leptoloma,"Paluma, QLD",1302,1996,Mature
Corymbia ligans,"Greenvale, QLD",2527,1999,Immature
Corymbia ligans,"Newcastle Range, QLD",2504,2002,Dead
Corymbia maculata,"Narooma, NSW",1752,1997,Mature
Corymbia maculata (C. henryi),"Grafton, NSW",2092,1998,Mature
Corymbia maculata (C. henryi),"Helidon Hills, QLD",1259,1996,Mature
Corymbia maculata 'Lowanna',"Cultivar, nursery origin",,2013,Mature
Corymbia nesophila,"Coen, QLD",2515,2010,Dead
Corymbia nesophila,"Cooktown, QLD",1319,1998,Dead
Corymbia novoguinensis,"Derideri, PNG",CSIRO 16616,1999,Dead
Corymbia oocarpa,"Oenpelli, NT",2479,2002,Dead
Corymbia opaca,"Alice Springs, NT",2434,1999,Immature
Corymbia opaca,"Great Sandy Desert, WA",1196,1995,Dead
Corymbia opacula,"Turkey Creek, WA",4234,2002,Dead
Corymbia pachycarpa,"Great Sandy Desert, WA",1198,1995,Dead
Corymbia pachycarpa,"Lamboo, WA",1939,2010,Immature
Corymbia papillosa,"Ramingining, NT",4207,2002,Dead
Corymbia papillosa (subsp. globifera),"Gardner Plateau, WA",5806,2011,Immature
Corymbia paractia,"Broome, WA",1901,1997,Dead
Corymbia peltata,"Newcastle Range, QLD",2505,1999,Mature
Corymbia petalophylla,"Eidsvold, QLD",1262,1996,Mature
Corymbia plena,"Torrens Creek, QLD",2535,1999,Immature
Corymbia pocillum,"Normanton, QLD",2497,1999,Dead
Corymbia polycarpa,"Broome, WA",1902,1997,Dead
Corymbia polycarpa,"Daly Waters 1, NT",4197,2002,Dead
Corymbia polycarpa,"Daly Waters 2, NT",6961,2017,Immature
Corymbia polysciada,"Kakadu Nat. Park, NT",4218,2010,Immature
Corymbia polysciada,"Pine Creek, NT",2457,1999,Dead
Corymbia porrecta,"Humpty Doo, NT",2471,2002,Dead
Corymbia ptychocarpa subsp. aptycha,"Oenpelli, NT",2476,2000,Dead
